,movienames,movieinfo,movietag,movierate,movieid
0,了不起的匠人 第二季,"{'类型': [' 纪录片'], '主演': [' 林志玲'], '编剧': ' 操婷', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 李武望'}","['纪录片', '匠人精神', '工艺', '中国', '文化', '2017', '温暖', '大陆']",8.4,50001
1,重生男人 Repo Men,"{'类型': [' 剧情 ', ' 动作 ', ' 科幻 ', ' 惊悚 ', ' 犯罪'], '主演': [' 裘德·洛 ', ' 福里斯特·惠特克 ', ' 艾莉丝·布拉加 ', ' Joe Pingue ', ' 列维·施瑞博尔'], '上映日期': ' 2010-03-19(美国/加拿大)', '编剧': ' Eric Garcia / Garrett Lerner', '语言': [' 英语'], '制片国家/地区': ' 美国 / 加拿大', '导演': ' 米格尔·萨普什尼克'}","['科幻', '美国', 'JudeLaw', '裘德·洛', '动作', '美国电影', '惊悚', '2010']",7.3,50002
2,对号入座 Plan de table,"{'类型': [' 喜剧'], '主演': [' 艾尔莎·泽贝斯坦 ', ' 弗朗克·迪博斯克 ', ' 露易丝·莫诺特 ', ' Audrey Lamy'], '编剧': ' Francis Nief / Christelle Raynal', '语言': [' 法语'], '制片国家/地区': ' 法国 / 比利时', '导演': ' Christelle Raynal'}","['法国电影', '喜剧', '法国', 'table', 'de', '爱情', '人生', '电影']",,50003
3,超体 Lucy,"{'类型': [' 动作 ', ' 科幻'], '主演': [' 斯嘉丽·约翰逊 ', ' 摩根·弗里曼 ', ' 崔岷植 ', ' 阿马尔·维克德 ', ' 朱利安·林希德-图特 ', ' 皮鲁·埃斯贝克 ', ' 安娜丽·提普顿 ', ' 詹·奥利弗·施罗德 ', ' 弗雷德里克·周 ', ' 克莱尔·陈 ', ' 塞德里克·舍瓦姆 ', ' 邵斯凡 ', ' 保罗·陈 ', ' 林暐恒更多...'], '上映日期': ' 2014-10-24(中国大陆) / 2014-07-25(美国) / 2014-08-06(法国)', '编剧': ' 吕克·贝松', '语言': [' 英语 ', ' 韩语 ', ' 法语 ', ' 汉语普通话'], '制片国家/地区': ' 法国', '导演': ' 吕克·贝松'}","['科幻', '超能力', '法国', '动作', '2014', '剧情', '女性', '犯罪']",7.1,50004
4,圣诞奇妙公司 Santa & Cie,"{'类型': [' 喜剧 ', ' 家庭'], '主演': [' 格什菲·法拉哈尼 ', ' 奥黛丽·塔图 ', ' 阿兰·夏巴 ', ' 皮奥·马麦 ', ' 格雷瓜尔·鲁迪格 ', ' 布鲁诺·桑切斯 ', ' 大卫·马赛更多...'], '上映日期': ' 2017-12-15(中国大陆) / 2017-12-06(法国)', '编剧': ' 阿兰·夏巴', '语言': [' 法语'], '制片国家/地区': ' 法国', '导演': ' 阿兰·夏巴'}","['法国', '奇幻', '圣诞', '喜剧', '圣诞老人', '2017', '温暖', '家庭']",6.8,50005
5,生命 Life,"{'类型': [' 纪录片'], '主演': [' 戴维·阿滕伯勒 ', ' 道格·艾伦 ', ' Jonathan Smith ', ' 奥普拉·温弗瑞'], '编剧': ' Paul Spillenger', '语言': [' 英语'], '制片国家/地区': ' 英国 / 希腊', '导演': ' 玛莎·霍尔姆斯 / Simon Blakeney / Stephen Lyle'}","['纪录片', '自然', '英国', '生命', 'Life', '2009', 'David-Attenborough', '纪录']",9.7,50006
6,天使之心 Angel Heart,"{'类型': [' 悬疑 ', ' 惊悚 ', ' 恐怖'], '主演': [' 罗伯特·德尼罗 ', ' 米基·洛克 ', ' 莉莎·博内特 ', ' 夏洛特·兰普林 ', ' Stocker Fontelieu ', ' Brownie McGhee ', ' 迈克尔·希金斯 ', ' Eliott Keener ', ' Charles Gordone ', ' 达恩·弗洛莱克 ', ' 凯瑟琳·威尔霍特更多...'], '上映日期': ' 1988-11-17', '编剧': ' 威廉·乔兹伯格 / 艾伦·帕克', '语言': [' 英语 ', ' 法语'], '制片国家/地区': ' 美国 / 加拿大 / 英国', '导演': ' 艾伦·帕克'}","['悬疑', '美国', '宗教', '惊悚', 'RobertDeNiro', '罗伯特·德尼罗', 'AlanParker', 'MickeyRourke']",7.0,50007
7,雷恩的女儿 Ryan's Daughter,"{'类型': [' 剧情 ', ' 爱情'], '主演': [' 莎拉·米尔斯 ', ' 罗伯特·米彻姆 ', ' 克里斯托弗·琼斯 ', ' 特瑞沃·霍华德 ', ' 约翰·米尔斯'], '上映日期': ' 1970-11-09', '编剧': ' 罗伯特·鲍特', '语言': [' 英语'], '制片国家/地区': ' 英国', '导演': ' 大卫·里恩'}","['英国', '大卫·里恩', '爱情', '英国电影', '1970', 'DavidLean', '史诗', '1970s']",8.2,50008
8,苏富比伪画大师 Beltracchi - Die Kunst der Fälschung,"{'类型': [' 纪录片 ', ' 传记 ', ' 犯罪'], '主演': [' Wolfgang Beltracchi ', ' Helene Beltracchi ', ' Henrik Hanstein ', ' James Roundell ', ' Monsieur Ommeslaghe ', ' Madame Ommeslaghe ', ' Sofia Komarova ', ' Niklas Maak ', ' René Allonge ', ' Henry Keazor更多...'], '上映日期': ' 2014-03-06', '编剧': ' Arne Birkenstock', '语言': [' 德语 ', ' 英语 ', ' 法语'], '制片国家/地区': ' 德国', '导演': ' Arne Birkenstock'}","['纪录片', '德国', '艺术', '紀錄片', '德國', '2014', '伪造', 'Beltracchi']",7.7,50009
9,星际特工：千星之城 Valérian and the City of a Thousand Planets,"{'类型': [' 动作 ', ' 科幻 ', ' 冒险'], '主演': [' 戴恩·德哈恩 ', ' 卡拉·迪瓦伊 ', ' 克里夫·欧文 ', ' 蕾哈娜 ', ' 伊桑·霍克 ', ' 赫比·汉考克 ', ' 吴亦凡 ', ' 萨姆·斯普卢尔  ', ' 阿兰·夏巴 ', ' 鲁特格尔·哈尔 ', ' 泽维尔·吉亚诺利 ', ' 约翰·古德曼 ', ' 山姆·道格拉斯更多...'], '上映日期': ' 2017-08-25(中国大陆) / 2017-07-20(德国) / 2017-07-26(法国)', '编剧': ' 吕克·贝松 / 皮埃尔·克里斯汀 / 让-克劳德·梅济耶尔', '语言': [' 英语 ', ' 法语'], '制片国家/地区': ' 法国', '导演': ' 吕克·贝松'}","['科幻', '太空', '2017', '冒险', '奇幻', '法国', '美国', '动作']",7.0,50010
10,律师本色 第一季 The Practice Season 1,"{'类型': [' 剧情 ', ' 喜剧 ', ' 悬疑'], '主演': [' 拉腊·弗林·鲍尔 ', ' 凯利·威廉姆斯 ', ' 迪伦·麦克德莫特'], '编剧': ' 大卫·E·凯利', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 大卫·E·凯利'}","['美剧', '法律', '律师剧', '律政', '美国', '法庭辩论', 'Practice', '电视剧']",9.1,50011
11,真假公主 Anastasia,"{'类型': [' 剧情 ', ' 历史'], '主演': [' 英格丽·褒曼 ', ' 尤·伯连纳 ', ' 海伦·海丝'], '上映日期': ' 1956-12-13', '编剧': ' 亚瑟·劳伦特斯', '语言': [' 英语 ', ' 法语'], '制片国家/地区': ' 美国', '导演': ' 安纳托尔·李维克'}","['英格丽·褒曼', '美国', '经典', '爱情', '美国电影', 'IngridBergman', '1956', '电影']",8.0,50012
12,母牛 La vache,"{'类型': [' 剧情 ', ' 喜剧 ', ' 冒险'], '主演': [' 法萨·布亚梅 ', ' 朗贝尔·维尔森 ', ' 贾梅尔·杜布兹 ', ' 哈吉尔·玛斯都基 ', ' 费德·本彻姆希 ', ' 凯瑟琳·戴夫尼尔 ', ' 阿卜杜拉赫·查基里 ', ' 帕特里斯·蒂博 ', ' 欧菲莉亚·科尔布 ', ' 茱莉亚·皮亚彤 ', ' 马利克·宾塔哈更多...'], '上映日期': ' 2016-01-14(阿尔卑普迪埃兹喜剧电影节) / 2016-02-17(法国)', '编剧': ' 阿兰-米歇尔·布兰克 / 法萨·布亚梅 / 穆罕默德·哈米迪', '语言': [' 法语 ', ' 阿拉伯语'], '制片国家/地区': ' 法国', '导演': ' 穆罕默德·哈米迪'}","['喜剧', '法国', '温情', '公路', '2016', '剧情', '亲情', '阿尔及利亚']",7.3,50013
