,gu_id,userid,name,g_name,g_tag
0,100000,10000,玛丽叔,看港剧-豆瓣小事,['nan']
1,100002084,10000,玛丽叔,成都吃喝玩乐-豆瓣小事,['nan']
2,100011019,10001,静文威威,星星读书团，每周一本书,"['小组标签', '读书', '书评']"
3,100014927,10001,静文威威,自学韩语,"['小组标签', '韩语，韩国语，自学韩语，韩语入门，韩语学习，韩国语']"
4,100013060,10001,静文威威,英语 &  翻译,"['小组标签', '英语', '翻译']"
5,100011,10001,静文威威,这周你读了什么书？,"['小组标签', '读书', '推荐', '分享']"
6,100022337,10002,meier,上海宠物救助领养Adoption,"['小组标签', 'adopt', '宠物', '领养', '收养', '救助']"
7,10002593,10002,meier,上海豆瓣,"['小组标签', '申', '上海', '沪', '魔都', '同城']"
8,100042,10004,マッドハッター,Noah And The Whale,"['小组标签', '音乐', '英国', '英伦', '民谣', '独立']"
9,100042458,10004,マッドハッター,松田翔太,"['小组标签', '松田翔太', '演员', '松田龙平', 'Shota', 'Matsuda']"
10,100043084,10004,マッドハッター,Christian Bale,"['小组标签', '贝尔']"
11,100041152,10004,マッドハッター,Saturday Night Live,"['小组标签', 'Saturdaynightlive', 'snl', '周六夜现场', '周末夜现场', 'NBC']"
12,100042550,10004,マッドハッター,今天我的人生应该响起什么配乐？,"['小组标签', '影视', '配乐', '兴趣', '爱好', '古怪']"
13,10004654,10004,マッドハッター,The Vaccines,"['小组标签', 'vaccines', '英伦', 'alternative', '乐队']"
14,100041629,10004,マッドハッター,Community 废柴联盟,"['小组标签', '废柴联盟', 'NBC', '情景喜剧']"
15,1000645,10006,Masque,建筑师的上网主页（原建筑日志）,"['小组标签', '建筑', '建筑日志', '建筑设计']"
16,100065535,10006,Masque,在德国学建筑,"['小组标签', '德国', '建筑', '留学', '景观', '设计']"
17,100064603,10006,Masque,建筑与城市,"['小组标签', '建筑，历史，建筑史，考研，研究生，建筑学，建筑设计']"
18,10007924,10007,乔尼.,我们都是“A型血天蝎座”,"['小组标签', 'A型血', 'A', '天蝎', '血腥']"
19,100074813,10007,乔尼.,我们都是星座狂 星座控。,"['小组标签', '星座狂', '星座控', '星座分析', '星座迷', '星座运势']"
20,100074276,10007,乔尼.,亚洲女性养生健身塑形饮食减肥,"['小组标签', '美容', '美食', '健康', '舞蹈', '服饰']"
21,100073660,10007,乔尼.,蘑菇爱家居 mooogu.cn,"['小组标签', '家具', '饰品', '创意\u3000家居\u3000生活', '设计', '现代艺术']"
22,100074034,10007,乔尼.,親愛的，你還寫信嗎？,"['小组标签', '笔友', '写信', '信', '信纸']"
23,100072729,10007,乔尼.,一个人呆着 唱歌写字照相或奔跑,"['小组标签', '一个人', '呆着', '思考', '奔跑']"
24,100073891,10007,乔尼.,方大同,"['小组标签', '方大同', 'Soul', 'Pop', 'R&B', '华语']"
25,100085225,10008,清北。💨,现代广义印度占星资料分享讨论小组,"['小组标签', '印度占星', '吠陀占星', '星座', '成长', '思考']"
26,100084053,10008,清北。💨,私藏诸世纪,"['小组标签', '占星', '塔罗', '命理', '相术', '神秘学']"
27,100093765,10009,半天憋不出个字,德国哲学经典文本,"['小组标签', '德国', '哲学', '思想']"
28,100095743,10009,半天憋不出个字,海德格尔,"['小组标签', '哲学', '西方', '德国', '现象学', '海德格尔']"
29,100092179,10009,半天憋不出个字,柏拉图,"['小组标签', '古希腊', '三杰', '哲学', '思想史', '理想国']"
30,10010830,10010,vesper,Lana Del Rey,"['小组标签', '音乐', '艺人']"
31,100104887,10010,vesper,看英剧-豆瓣小事,['nan']
32,100114352,10011,V小谏,有时就想躲起来,"['小组标签', '躲', '忧郁', '思念', '孤单', '胆小']"
33,100111009,10011,V小谏,福州豆瓣,"['小组标签', '福州', '豆瓣', '书', '中国大陆']"
34,100121060,10012,糊里糊涂,长沙征友相亲,"['小组标签', '长沙', '征友相亲', '征友', '相亲', '美女']"
35,100122940,10012,糊里糊涂,女性哲学家,"['小组标签', '哲学', '女性']"
36,100122344,10012,糊里糊涂,星沙豆瓣,"['小组标签', 'xingsha']"
37,1001353,10013,积木屋子,二手书籍交换|赠送|转让,"['小组标签', '二手', '旧书交流', '书摊', '业余爱好', '交流']"
38,100133838,10013,积木屋子,德国文化,"['小组标签', '德国', '文化', '德语']"
39,10013481,10013,积木屋子,美食,"['小组标签', '美食', '饮食', '吃喝', '腐败', '豆瓣']"
40,10013311,10013,积木屋子,德语 德国,"['小组标签', '德语', '德国', '电影', '音乐', '留学']"
41,100134864,10013,积木屋子,闲置二手书籍。转让。赠送。,"['小组标签', '作者', '文艺', '言情', '英语', '雅思']"
42,10013129,10013,积木屋子,广州吃货-美食拯救世界！,"['小组标签', 'Anti;客户;广州;吃货;美食;']"
43,100133,10013,积木屋子,抱着你的私生子来讨论婚姻法,"['小组标签', '法律讨论']"
44,100142778,10014,cutiehunterr,极限挑战,"['小组标签', '孙红雷', '黄渤', '黄磊', '罗志祥', '张艺兴']"
45,100144921,10014,cutiehunterr,黄轩,"['小组标签', '青年演员黄轩']"
46,100145,10014,cutiehunterr,黄轩,"['小组标签', '黄轩', '黄金时代', '推拿', '女人帮', '红高粱']"
47,100142076,10014,cutiehunterr,抖森,"['小组标签', '抖森']"
