source,target
12365,11715
12365,10115
12365,10161
12365,12440
12365,10545
12365,10347
12365,12891
12365,13059
12365,12076
12365,10019
12365,11633
12365,11097
12365,11728
10419,10115
10419,10347
10419,10115
10915,12327
10915,10131
11993,13059
11993,11184
11444,10347
11141,10019
10258,11184
10258,10526
12031,11312
12411,12524
12411,11208
11165,11184
11165,11208
11828,12524
11828,10115
11828,11523
11828,10115
11828,10526
11739,13375
10211,11689
10211,12266
10211,10115
10211,10347
10211,10115
13376,10115
13376,11312
13376,10161
13376,11208
13376,10666
13376,11276
12191,10109
12191,10545
12191,11523
12191,10526
12817,10115
10738,10115
10290,10526
13371,13216
13371,10109
13371,10115
13371,12416
12663,10115
12663,10545
12663,10035
12663,11091
12834,12642
12834,10115
12834,11126
12834,11583
12834,10018
12834,10545
12834,11599
12834,13026
12834,11276
13002,10545
13002,12524
12968,10545
11726,12694
11726,11039
11726,10415
11726,10115
11726,11583
11726,10545
11726,10898
11726,12530
11726,11184
11726,10764
11726,13244
11726,10084
11726,12041
11726,10109
10678,10126
10678,11504
10678,12566
10678,10115
10125,11208
10125,10115
10125,10545
13162,10545
11010,10415
11010,10115
11010,10673
11010,10526
11010,11689
11010,10347
13100,10415
13100,10115
11934,10415
11934,10115
11934,10215
11934,11128
11934,10449
11934,11294
11934,10019
11934,13280
11934,11920
11934,11990
11934,11276
11934,12077
12720,10109
12720,10545
12720,13132
12720,11208
12720,11091
13115,10415
13115,10526
11724,10545
10702,12865
10702,10545
10702,10051
10702,10115
10449,10035
11969,10109
11969,12524
12472,10018
12472,10115
12472,10898
12472,13375
13080,11689
13080,10019
13080,10526
13215,10545
13215,12327
13215,10019
11738,10545
13109,10115
13109,10115
11717,10545
11717,13038
11717,11208
11026,12076
11026,10115
11026,11015
11822,10545
12801,11990
12801,10347
12801,13258
12801,12049
12176,10448
10663,10115
10663,10347
10663,10115
10310,11295
10310,12762
10310,10115
10310,10259
10310,12416
10310,13010
10310,10545
10310,12891
10310,12055
10511,10115
10511,10035
10511,10259
10511,10018
10511,10669
10511,11490
10511,12184
10511,13163
10511,11358
10741,10545
12920,10115
12920,10018
13031,10545
13031,10347
13031,10115
13134,10109
13134,10545
13134,10526
10142,13132
10142,10415
10142,10115
10142,13281
10142,10545
10142,10347
10142,12530
10142,10448
10142,11184
10142,13059
10142,11990
10625,10109
10625,10115
10625,10545
12103,10526
10707,10035
10707,10115
10707,10115
10707,10347
10707,12076
10707,12566
10707,11276
10707,10360
