source,target,wight
12365,11715,1.0
12365,10115,10.404798103595466
12365,10161,13.297919370836938
12365,12440,1.0
12365,10545,15.012578303701499
12365,10347,17.217163878014862
12365,12891,1.0
12365,13059,1.0
12365,12076,13.130643285972255
12365,10019,1.0
12365,11633,4.3768810953240855
12365,11097,18.79859399580523
12365,11728,1.0
10419,10115,11.379481553341215
10419,10347,17.292861596651864
10419,10115,11.379481553341215
10915,12327,1.0
10915,10131,1.0
11993,13059,1.0
11993,11184,1.0
11444,10347,5.735393346764043
11141,10019,1.0
10258,11184,1.0
10258,10526,11.070186069251193
12031,11312,11.235088294097073
12411,12524,3.790490217894517
12411,11208,5.66365471788599
11165,11184,1.0
11165,11208,4.651162790697675
11828,12524,8.333333333333332
11828,10115,4.402254531628119
11828,11523,2.6574700172636696
11828,10115,4.402254531628119
11828,10526,4.950737714883372
11739,13375,1.0
10211,11689,2.9481982800776407
10211,12266,10.40726808537592
10211,10115,10.988691536373848
10211,10347,10.390486669322623
10211,10115,10.988691536373848
13376,10115,1.0
13376,11312,1.0
13376,10161,1.0
13376,11208,1.0
13376,10666,1.0
13376,11276,1.0
12191,10109,1.0
12191,10545,1.0
12191,11523,1.0
12191,10526,1.0
12817,10115,13.343624904102908
10738,10115,9.644856443408242
10290,10526,1.0
13371,13216,1.0
13371,10109,1.0
13371,10115,1.0
13371,12416,1.0
12663,10115,1.0
12663,10545,1.0
12663,10035,1.0
12663,11091,1.0
12834,12642,1.0
12834,10115,8.495482076828985
12834,11126,3.4482758620689653
12834,11583,4.2051713353118005
12834,10018,5.311606738473833
12834,10545,3.6773156567646104
12834,11599,1.0
12834,13026,13.56127007241621
12834,11276,8.5202864568461
13002,10545,1.0
13002,12524,1.0
12968,10545,1.0
11726,12694,1.0
11726,11039,9.316949906249123
11726,10415,11.476952126219176
11726,10115,9.744805811819829
11726,11583,6.201736729460423
11726,10545,10.846522890932809
11726,10898,13.333333333333334
11726,12530,6.454972243679028
11726,11184,1.0
11726,10764,14.32229748078866
11726,13244,22.82177322938192
11726,10084,15.109947130387486
11726,12041,8.606629658238704
11726,10109,9.622504486493764
10678,10126,21.57936062402664
10678,11504,10.76763804116331
10678,12566,10.114434748483472
10678,10115,12.981540392700206
10125,11208,7.624928516630233
10125,10115,7.1888515468958945
10125,10545,7.00140042014005
13162,10545,1.0
11010,10415,7.200230411059789
11010,10115,10.18923932424028
11010,10673,4.5175395145262565
11010,10526,11.458731212852642
11010,11689,7.381017469576843
11010,10347,6.503324771430899
13100,10415,1.0
13100,10115,1.0
11934,10415,1.0
11934,10115,1.0
11934,10215,1.0
11934,11128,1.0
11934,10449,1.0
11934,11294,1.0
11934,10019,1.0
11934,13280,1.0
11934,11920,1.0
11934,11990,1.0
11934,11276,1.0
11934,12077,1.0
12720,10109,1.0
12720,10545,1.0
12720,13132,1.0
12720,11208,1.0
12720,11091,1.0
13115,10415,1.0
13115,10526,1.0
11724,10545,8.541628435179643
10702,12865,4.055535528269064
10702,10545,12.849851324064712
10702,10051,18.212319909644354
10702,10115,9.895413919905868
10449,10035,10.585122480499264
11969,10109,1.0
11969,12524,1.0
12472,10018,14.740926029993146
12472,10115,10.104389907637112
12472,10898,12.097167578182678
12472,13375,1.0
13080,11689,4.602873089491617
13080,10019,1.0
13080,10526,1.0
13215,10545,1.0
13215,12327,1.0
13215,10019,1.0
11738,10545,5.9708143402653215
13109,10115,2.7842302319485226
13109,10115,2.7842302319485226
11717,10545,10.67703554397455
11717,13038,1.0
11717,11208,11.627906976744185
11026,12076,11.707322644771175
11026,10115,8.658487179917634
11026,11015,1.0
11822,10545,1.0
12801,11990,16.477051091432692
12801,10347,14.6943671674129
12801,13258,1.0
12801,12049,11.694106924093722
12176,10448,5.18999296107682
10663,10115,9.113532707206115
10663,10347,7.755667343294813
10663,10115,9.113532707206115
10310,11295,6.172133998483677
10310,12762,1.0
10310,10115,13.311166512794435
10310,10259,16.64375714839207
10310,12416,1.0
10310,13010,1.0
10310,10545,12.964074471043288
10310,12891,1.0
10310,12055,6.2418778393235925
10511,10115,9.961164901835046
10511,10035,5.819143739626463
10511,10259,10.190493307301363
10511,10018,12.455983106584366
10511,10669,9.211323729436765
10511,11490,8.512565307587487
10511,12184,13.529628504050919
10511,13163,1.0
10511,11358,12.86535041805354
10741,10545,5.716619504750295
12920,10115,1.0
12920,10018,1.0
13031,10545,10.846522890932809
13031,10347,14.808721943977307
13031,10115,1.0
13134,10109,1.0
13134,10545,1.0
13134,10526,1.0
10142,13132,1.0
10142,10415,6.558258357839529
10142,10115,5.568460463897045
10142,13281,3.227486121839514
10142,10545,9.03876907577734
10142,10347,5.923488777590923
10142,12530,3.227486121839514
10142,10448,5.18999296107682
10142,11184,1.0
10142,13059,1.0
10142,11990,2.214037213850238
10625,10109,9.312403943594376
10625,10115,5.052194953818556
10625,10545,4.373740168406954
12103,10526,1.0
10707,10035,2.043797798283219
10707,10115,10.495671428119794
10707,10115,10.495671428119794
10707,10347,16.747265870207702
10707,12076,3.3113308926626095
10707,12566,9.086217008485093
10707,11276,5.263157894736842
10707,10360,7.8688947536463365
10707,10643,6.814662756363819
10707,11728,1.0
12268,10415,8.240856434303293
12268,10035,12.262786789699316
12268,10545,13.629325512727638
12268,12530,8.111071056538128
12268,10019,1.0
12268,11184,1.0
11520,10415,1.0
13282,10526,1.0
13282,10115,1.0
11209,12030,10.269923319261935
11209,10018,10.529232878566532
11209,13026,16.129556770910234
11209,10115,6.736259938424741
