userid,username,movietag
10000,玛丽叔,"['日剧', '松岛菜菜子', '菅野美穂', '日本', '悬疑', '2016', '16秋', '看过的电视剧','四川成都', '独立', 'LGBT', '2017', '跨性别', '内地', '家庭', '励志']"
10001,静文威威,"['喜剧', '美国', '西部', '黑色幽默', '2014', '搞笑', '恶搞', '爱情','法国', '黑色幽默', '讽刺', '喜剧', '法国电影', '1974', '中国', 'cult','喜剧', '美国', '黑色幽默', '监狱', '同志', '美国电影', '2006', '同居牢友','喜剧', '无厘头', '搞笑', '国产', '2017', '中国大陆', '美食', '剧情']"
10003,贝塔,"['韩剧', '励志', '职场', '韩国', 'tvN', '2014', '任时完', '成长','日剧', '石原里美', '石原さとみ', '松下奈緒', '日本', '14秋', '2014', '看过的电视剧']"
10006,Masque,"['法国', '新浪潮', '特吕弗', '爱情', '法国电影', '弗朗索瓦·特吕弗', 'FrancoisTruffaut', '1962']"
10007,乔尼.,"['日本', '日本电影', '芬兰', '生活', '海鸥食堂', '旅行', '美食', '荻上直子']"
10009,半天憋不出个字,"['美剧', '喜剧', '2017', '美国', 'showtime', '黑色幽默', '女性', '单亲，辣妈','美国', '伊丽莎白·泰勒', 'PaulNewman', 'ElizabethTaylor', '经典', '美国电影', '爱情', '1958','动作', '美国', '暴力', '犯罪', '杀手', '黑帮', '2014', '基努李维斯','动作', '基努·李维斯', '美国', '暴力美学', '犯罪', '暴力', '杀手', '2017']"
10010,vesper,"['西班牙', '战争', '2016', '爱情', '历史', '西班牙电影', 'JackDavenport', ""JamesD'arcy"",'传记', '美国', '剧情', '2017', '女性', '犯罪', '真实事件改编', '劳模姐','冰岛', '同性', '北欧', '成长', '青春', 'LGBT', '2016', '剧情','法国', '新浪潮', '克劳德·夏布洛尔', '法国电影', '1959', 'Claude_Chabrol', '1950s', 'ClaudeChabrol','日本', '动画', '日本动画', '动漫', '石田彰', '2016', '落语', 'アニメ']"
10011,V小谏,"['法国', '法国电影', '成长', '陪我走到世界尽头', '剧情', '爱', '电影', '生活','日剧', '成宫宽贵', '温情', '日本', '现在，就去见你', '日本电影', '爱情', '成宮寛貴','动作', '美国', '励志', '亲情', '剧情', '汤姆·哈迪', '家庭', '2011','俄罗斯', '青春', '爱情', '27个遗失的吻', '俄罗斯电影', '情色', '电影', '格鲁吉亚']"
10012,糊里糊涂,"['传记', '美国', '女性', '美国电影', 'JessicaLange', '1982', '经典', '1980s']"
10013,积木屋子,"['真人秀', '美国', '美剧', '综艺', '时尚', 'ANTM', '模特', '2016','高达', '动画', '日本', '日本动画', 'Gundam', '2016', '机战', '科幻']"
10014,cutiehunterr,"['名著改编', '国产剧', '史诗', '电视剧', '历史', '经典', '中国', '剧情']"
10015,哈鲁卡,"['日剧', '日本', '竹内结子', '2018', '推理', '贯地谷诗穗梨', '犯罪', '电视剧']"
10016,wayway,"['纪录片', '音乐', '美国', '关于电影', '汉斯·季默', '2016', '艺术', 'Documentary','日剧', '小林聪美', '日本', '大岛优子', '松隆子', '小林聰美', '2017', '17秋','美国', '西部', 'ChristianBale', '2017', '美国电影', '西部片', '剧情', '电影']"
